Authentication & User Profile,Sign Up & Sign In,The landing page showcasing platform features benefits and call-to-action buttons for Login/Signup.,Simple,2,Iteration 1,Planned,Nghĩa,Highest
Login,Screen,Authentication & User Profile,Sign Up & Sign In,Allow registered users to authenticate into the system using valid credentials.,Simple,2,Iteration 1,Planned,Nghĩa,Highest
Logout,Screen,Authentication & User Profile,Sign Up & Sign In,Allow registered users to securely log out from the system and terminate their active session.,Simple,2,Iteration 1,Planned,Nghĩa,Low
Forgot Password,Screen,Authentication & User Profile,Sign Up & Sign In,Allow registered users to reset their password by submitting a password recovery request.,Medium,5,Iteration 1,Planned,Nghĩa,High
Register Account,Screen,Authentication & User Profile,Sign Up & Sign In,Allow Guests to create a new user account to become a Registered User on the platform.,Medium,7,Iteration 1,Planned,Nghĩa,Highest
View Homepage,Screen,Authentication & User Profile,Sign Up & Sign In,The landing page showcasing platform features benefits and call-to-action buttons for Login/Signup.,Simple,2,Iteration 1,Planned,Nghĩa,Highest
View Profile,Screen,Authentication & User Profile,Profile Management,Allow registered users to view their personal profile information and account details.,Simple,2,Iteration 1,Planned,AnhNHH,High
Update Profile,Screen,Authentication & User Profile,Profile Management,Allow registered users to update and modify their personal profile information.,Medium,3,Iteration 1,Planned,AnhNHH,Medium
Change Password,Screen,Authentication & User Profile,Profile Management,Allow registered users to change their account password after successful authentication.,Medium,5,Iteration 1,Planned,Nghĩa,Medium
Create Class,Screen,Class Management,Class Administration,Allow the teacher to create a new class space by defining the class name subject and description.,Simple,5,Iteration 1,Planned,DuongNC,Highest
Update Class,Screen,Class Management,Class Administration,Allow the teacher to modify class details such as the class name cover image or description.,Medium,5,Iteration 1,Planned,DuongNC,High
Delete Class,Screen,Class Management,Class Administration,Allow the teacher to permanently delete a class and all associated data.,Simple,2,Iteration 1,Planned,DuongNC,Low
Create Class Schedule,Screen,Class Management,Attendance & Scheduling,Allow the teacher to create a new event deadline or lesson slot in the class schedule.,Medium,7,Iteration 1,Planned,AnhNHH,Highest
Delete Class Schedule,Screen,Class Management,Attendance & Scheduling,Allow the teacher to cancel or remove an event from the class schedule.,Simple,2,Iteration 1,Planned,AnhNHH,Low
Update Class Schedule,Screen,Class Management,Attendance & Scheduling,Allow the teacher to change the time date or details of a scheduled class event.,Medium,7,Iteration 1,Planned,AnhNHH,High
View Class Schedule (Teacher),Screen,Class Management,Attendance & Scheduling,Allow the teacher to view the specific calendar and events for a single selected class.,Medium,5,Iteration 1,Planned,AnhNHH,High
Search Class,Screen,Class Management,Class Participation,Allow students to search for available classes by name subject or instructor.,Simple,2,Iteration 1,Planned,ToanDV,High
View Class Information,Screen,Class Management,Class Participation,Allow students to view detailed information about a class including the description instructor and syllabus.,Simple,2,Iteration 1,Planned,ToanDV,Medium
Join Class,Screen,Class Management,Class Participation,Allow students to enroll in a class using a specific class code or invitation link.,Medium,3,Iteration 1,Planned,ToanDV,High
Approve/Reject Student Requests,Screen,Class Management,Class Participation,Allow the teacher to review pending join requests and decide whether to accept or deny a student's entry into the class.,Medium,3,Iteration 1,Planned,ToanDV,High
Leave Class,Screen,Class Management,Class Participation,Allow students to unenroll or withdraw from a class they have previously joined.,Simple,2,Iteration 1,Planned,ToanDV,Low
Create Post,Screen,Course Content & Communication,Posts & Comments,Allow teachers and students to create new posts or discussion topics in the class feed.,Medium,3,Iteration 1,Planned,DuongNC,Medium
View Post,Screen,Course Content & Communication,Posts & Comments,Allow teachers and students to view posts notifications and updates shared within the class stream.,Simple,2,Iteration 1,Planned,DuongNC,Medium
Create Comment,Screen,Course Content & Communication,Posts & Comments,Allow teachers and students to add comments to posts in the class discussion area.,Simple,2,Iteration 1,Planned,DuongNC,Medium
Upload Class Material,Screen,Course Content & Communication,Learning Class Materials,Allow the teacher to upload learning materials from the class.,Medium,5,Iteration 2,Planned,DuongNC,High
Delete Class Material,Screen,Course Content & Communication,Learning Class Materials,Allow the teacher to remove learning materials from the class.,Simple,2,Iteration 2,Planned,DuongNC,Low
Download Class Material,Screen,Course Content & Communication,Learning Class Materials,Allow the teacher to download materials posted in the class.,Simple,2,Iteration 2,Planned,DuongNC,Low
Download Materials,Screen,Course Content & Communication,Learning Class Materials,Allow students to download available learning materials to their local device for offline access.,Simple,2,Iteration 2,Planned,DuongNC,Low
View Class Material,Screen,Course Content & Communication,Learning Class Materials,Allow the teacher to view learning materials from the class.,Simple,2,Iteration 2,Planned,DuongNC,Medium
View Materials,Screen,Course Content & Communication,Learning Class Materials,Allow students to view learning materials (documents videos slides) provided by the instructor.,Simple,2,Iteration 2,Planned,DuongNC,Medium
View Student Information,Screen,Administration & Subscription,User & System Management,Allow the teacher to view the profile contact details and academic status of students in the class.,Simple,2,Iteration 2,Planned,ToanDV,Medium
View User List,Screen,Administration & Subscription,User & System Management,Allow Admin to browse search and filter the complete list of all users registered on the platform.,Medium,3,Iteration 2,Planned,ToanDV,High
Create Question Manual,Screen,Resource Bank Management,Question Management,Allow the teacher to manually input questions and answers (multiple choice essay etc.) into the question bank.,Medium,5,Iteration 1,Planned,Nghĩa,High
Create Resource Bank,Screen,Resource Bank Management,Bank Operations,Allow the teacher to create and organize a collection of learning resources for later reuse in teaching and assignment creation.,Medium,5,Iteration 1,Planned,Nghĩa,Highest
View Personal Schedule (Teacher),Screen,Authentication & User Profile,Profile Management,Allow the teacher to view their aggregate schedule containing events from all classes they teach.,Simple,2,Iteration 2,Planned,AnhNHH,Medium
Update Post,Screen,Course Content & Communication,Posts & Comments,Allow teachers and students to edit the content of their own previously created posts.,Simple,2,Iteration 1,Planned,DuongNC,Low
Remove Student,Screen,Administration & Subscription,User & System Management,Allow the teacher to remove a student from the class list.,Simple,2,Iteration 2,Planned,ToanDV,Low
Create Question By Importing Files,Screen,Resource Bank Management,Question Management,Allow the teacher to bulk import questions into the system using a formatted file (e.g. Excel CSV).,Complex,7,Iteration 2,Planned,Nghĩa,High
Create Question With AI,Screen,Resource Bank Management,Question Management,Allow the teacher to generate quiz questions and answers automatically using AI based on provided text or topics.,Complex,10,Iteration 2,Planned,Nghĩa,High
View Resource Bank,Screen,Resource Bank Management,Bank Operations,Allow the teacher to view the contents and questions stored in a resource bank.,Simple,5,Iteration 2,Planned,Nghĩa,High
Edit Resource Bank,Screen,Resource Bank Management,Bank Operations,Allow the teacher to update the information and contents of an existing resource bank.,Medium,5,Iteration 2,Planned,Nghĩa,Medium
Update Question In Resource Bank,Screen,Resource Bank Management,Question Management,Allow the teacher to edit the content or correct the answers of a question in the bank.,Medium,5,Iteration 2,Planned,Nghĩa,Medium
Delete Question In Resource Bank,Screen,Resource Bank Management,Question Management,Allow the teacher to remove a question from the question bank.,Simple,2,Iteration 2,Planned,Nghĩa,Low
Download Resource Bank,Screen,Resource Bank Management,Bank Operations,Allow the teacher to download all resources and associated questions from a resource bank for offline use.,Medium,5,Iteration 2,Planned,Nghĩa,Medium
Create Assignment Manual,Screen,Assignments & Assessment,Assignment Management,Allow the teacher to manually type and configure the details of a new assignment without external aids.,Medium,7,Iteration 2,Planned,Nghĩa,Highest
Update Assignment,Screen,Assignments & Assessment,Assignment Management,Allow the teacher to modify the instructions deadlines or attachments of an existing assignment.,Medium,5,Iteration 2,Planned,Nghĩa,High
Reset User Password,Screen,Administration & Subscription,User & System Management,Allow Admin to force-reset a user's password and generate a new temporary credential for account recovery.,Medium,5,Iteration 2,Planned,Nghĩa,Medium
View Class Schedule (Student),Screen,Class Management,Attendance & Scheduling,Allow students to view the specific timetable session dates and times for a particular class.,Medium,5,Iteration 2,Planned,AnhNHH,High
View Personal Schedule (Student),Screen,Authentication & User Profile,Profile Management,Allow students to view a combined calendar of lessons and deadlines across all their enrolled classes.,Medium,3,Iteration 2,Planned,AnhNHH,Medium
Take Attendance,Screen,Class Management,Attendance & Scheduling,Allow the teacher to mark students as present absent or late for a specific class session.,Medium,7,Iteration 2,Planned,AnhNHH,High
Update Comment,Screen,Course Content & Communication,Posts & Comments,Allow teachers and students to edit their own comments on posts.,Simple,2,Iteration 1,Planned,DuongNC,Low
Join Meeting,Screen,Course Content & Communication,Virtual Meeting,Allow teachers and students to join online class meetings via the provided meeting link,Complex,7,Iteration 2,Planned,DuongNC,High
Create Subscription,Screen,Administration & Subscription,Subscription Management,Allow Admin to define and add new subscription plans with specific attributes (name price duration features) to the system.,Medium,5,Iteration 2,Planned,DuongNC,High
Update Subscription,Screen,Administration & Subscription,Subscription Management,Allow Admin to modify the details (price benefits name) of an existing subscription plan.,Medium,5,Iteration 2,Planned,DuongNC,Medium
Update User Status,Screen,Administration & Subscription,User & System Management,Allow Admin to modify account status (e.g. ACTIVE UNACTIVEBANNED).,Medium,5,Iteration 2,Planned,ToanDV,Medium
View System Dashboard,Screen,Administration & Subscription,User & System Management,Allow Admin to access an overview of system health including total user count active sessions and recent platform activities.,Complex,5,Iteration 2,Planned,HuyMT,Medium
View Transaction History,Screen,Administration & Subscription,Subscription Management,Allow Admin to browse the detailed log of all payments and transactions occurring within the platform.,Simple,5,Iteration 3,Planned,DuongNC,Low
Create Assignment By Importing From Resource Bank,Screen,Assignments & Assessment,Assignment Management,Allow the teacher to create a new assignment by selecting and importing existing materials from their personal resource bank.,Medium,5,Iteration 2,Planned,Nghĩa,High
Create Assignment By Uploading Files,Screen,Assignments & Assessment,Assignment Management,Allow the teacher to create an assignment by uploading documents (PDF Word etc.) directly from their device.,Medium,7,Iteration 2,Planned,Nghĩa,Highest
View Assignment (Student),Screen,Assignments & Assessment,Assignment Management,Allow students to view details of assignments including instructions attachments and deadlines.,Simple,2,Iteration 3,Planned,Nghĩa,High
View Assignment (Teacher),Screen,Assignments & Assessment,Assignment Management,Allow the teacher to view the details and questions of an existing assignment.,Simple,2,Iteration 3,Planned,Nghĩa,Medium
Delete Assignment,Screen,Assignments & Assessment,Assignment Management,Allow the teacher to delete an assignment from the class.,Simple,2,Iteration 2,Planned,Nghĩa,Low
Edit Attendance,Screen,Class Management,Attendance & Scheduling,Allow the teacher to modify attendance records for past sessions.,Simple,2,Iteration 3,Planned,AnhNHH,Medium
Buy Subscription,Screen,Administration & Subscription,Subscription Management,Allow the teacher to purchase or upgrade their subscription plan to access premium features.,Medium,5,Iteration 3,Planned,DuongNC,High
Delete Comment,Screen,Course Content & Communication,Posts & Comments,Allow teachers and students to delete their own comments from posts.,Simple,2,Iteration 1,Planned,DuongNC,Low
Delete Post,Screen,Course Content & Communication,Posts & Comments,Allow teachers and students to remove their own previously created posts from the class feed.,Simple,2,Iteration 1,Planned,DuongNC,Low
Delete Subscription,Screen,Administration & Subscription,Subscription Management,Allow Admin to remove a subscription plan from the system so it is no longer available for purchase.,Simple,2,Iteration 3,Planned,DuongNC,Low
View Comment,Screen,Course Content & Communication,Posts & Comments,Allow teachers and students to read comments associated with posts or posts.,Simple,2,Iteration 1,Planned,DuongNC,Low
View Revenue Dashboard,Screen,Administration & Subscription,Subscription Management,Allow Admin to view financial statistics including total income revenue growth charts and subscription sales summaries.,Complex,5,Iteration 3,Planned,DuongNC,Medium
View Subscriptions,Screen,Administration & Subscription,Subscription Management,Allow the teacher to view their current subscription plan and available features (e.g. AI usage limits).,Simple,2,Iteration 3,Planned,DuongNC,Medium
Create Assignment With AI,Screen,Assignments & Assessment,Assignment Management,Allow the teacher to use AI assistance to generate assignment topics descriptions or requirements based on a prompt.,Complex,7,Iteration 3,Planned,Nghĩa,Highest
Delete Resource Bank,Screen,Resource Bank Management,Bank Operations,Allow the teacher to permanently remove an existing resource bank from the system.,Simple,2,Iteration 3,Planned,Nghĩa,Low
Grade Essay With AI Feedback,Screen,Assignments & Assessment,Submission & Grading,Allow the teacher to use AI to analyze student essays and generate suggested grades and detailed feedback.,Complex,12,Iteration 3,Planned,Nghĩa,High
Attempt Assignment,Screen,Assignments & Assessment,Submission & Grading,Allow students to participate in and submit online quizzes or tests within the assigned time.,Medium,7,Iteration 3,Planned,Nghĩa,High
Submit Assignment,Screen,Assignments & Assessment,Submission & Grading,Allow students to upload files or text to turn in homework/projects before the deadline.,Medium,5,Iteration 3,Planned,Nghĩa,High
Grade Manual Essay,Screen,Assignments & Assessment,Submission & Grading,Allow the teacher to manually review student essays and input grades and comments.,Medium,5,Iteration 3,Planned,Nghĩa,Medium
View Grade Submissions,Screen,Assignments & Assessment,Submission & Grading,Allow the teacher to view a list of student submissions for a specific assignment or exam.,Simple,5,Iteration 3,Planned,Nghĩa,Medium
View Notifications,Screen,Authentication & User Profile,Profile Management,Allow registered users to view a centralized list of alerts and updates from the system teachers and classes.,Simple,2,Iteration 3,Planned,AnhNHH,Medium
Export Grades,Screen,Assignments & Assessment,Analytics & Results,Allow the teacher to download the class gradebook as an Excel or CSV file.,Medium,5,Iteration 3,Planned,HuyMT,Low
View Class Analytics,Screen,Assignments & Assessment,Analytics & Results,Allow the teacher to view statistical data and charts regarding student performance and class engagement.,Complex,7,Iteration 3,Planned,HuyMT,Medium
View Grades & Solutions,Screen,Assignments & Assessment,Analytics & Results,Allow students to view their grades feedback and correct answers for quizzes and assignments.,Simple,5,Iteration 3,Planned,HuyMT,Medium
View Student Dashboard,Screen,Assignments & Assessment,Analytics & Results,Allow students to view a centralized summary of all enrolled classes and recent activities.,Medium,5,Iteration 3,Planned,HuyMT,Low
